detail_id,invoice_id,batch_id,quantity,unit_price
1,1,1220,3,24.70753158678767
2,1,191,8,114.22969235765669
3,1,679,4,69.28013282391494
4,2,1669,9,36.78807567247543
5,2,1269,3,36.9544771190789
6,3,1967,6,117.24746918369726
7,3,260,6,74.67836885709767
8,3,321,8,56.882520087433136
9,3,943,2,35.436643753652696
10,4,546,6,120.60493327495928
11,4,1652,8,61.94254195616924
12,4,178,7,93.93158613329348
13,5,1007,8,50.81897017317649
14,5,899,7,21.40305678321859
15,5,1281,8,108.71352292653964
16,5,1870,9,86.34538058016462
17,5,1082,3,12.793313118445695
18,6,1208,8,111.68768702446873
19,6,1462,5,52.50916301418131
20,6,230,2,88.93100966836803
21,6,1122,7,102.10597896951401
22,7,832,10,90.42316916879851
23,7,1244,10,120.05886135661547
24,7,1038,4,55.72487851770099
25,8,11,4,107.05331276001341
26,8,468,4,79.61780520558938
27,8,1681,9,76.27474218336718
28,9,937,1,57.13747879555926
29,9,440,2,40.19367909238087
30,9,443,9,110.14265689423905
31,9,1090,7,87.1197921244241
32,10,1422,9,18.336831861936055
33,10,1060,2,178.94244927187887
34,10,1292,3,79.89274461031414
35,10,1498,9,102.87206349993798
36,11,931,8,93.16994182502
37,11,746,7,68.58664770543714
38,11,203,8,148.74428421279268
39,11,1248,6,97.57173148312654
40,12,77,2,101.81869702287061
41,12,1732,10,140.85992007046463
42,13,801,4,30.876515521986367
43,13,466,4,23.679472555805127
44,14,1317,10,58.92895975662561
45,14,1543,9,63.57587003907872
46,14,1568,5,124.41984911602633
47,14,1800,3,34.57087972974872
48,15,830,2,19.51048674278335
49,16,735,1,47.83386677662532
50,16,920,10,45.864921275947104
51,16,1579,6,45.90530901715723
52,16,258,10,40.5478699876406
53,16,54,10,81.9254943790288
54,17,919,2,126.8989758327041
55,18,276,8,93.93436600862246
56,18,459,6,97.2057417041093
57,18,179,4,82.10841176499848
58,18,891,5,94.3131870758329
59,18,272,4,9.611875192173395
60,19,1883,2,56.24727329111669
61,19,1065,3,60.9271734108158
62,19,1445,3,132.65009904405613
63,20,428,10,159.4631259155584
64,21,607,5,1.7414155878296653
65,21,796,2,54.11494671260773
66,21,377,9,138.05078542994218
67,21,532,1,21.53171464313333
68,21,695,7,133.36510688331478
69,22,1579,7,38.616224845506636
70,22,1058,10,67.10329169413048
71,22,1007,1,44.27156043729057
72,22,1891,3,101.32709643151617
73,22,1518,2,79.59388331719543
74,23,1589,4,35.78285159326616
75,23,753,1,48.09796086373241
76,23,193,7,64.82512641299823
77,23,364,5,18.977006790182724
78,23,997,1,142.11947061602
79,24,637,2,28.486115452081478
80,25,962,1,104.78854612314834
81,26,701,2,15.601757305994077
82,26,106,9,29.140000753698207
83,27,1915,8,108.36634633994635
84,27,1743,10,87.80967450088448
85,27,500,6,37.292058968442724
86,28,1298,3,74.89632578252615
87,28,1023,3,21.316755674892576
88,28,571,1,77.55538517144205
